task_id,level,success,timed_out,elapsed_seconds,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_tokens,tool_calls,ast_tool_calls,tokens_per_tool_call,changed_files,process_exit_code
level1-001,level1,True,False,18.35,12,1387,0,0,1399,5,0,279.8,src/service/inventory_service.cpp,0
level1-002,level1,True,False,58.72,26,4873,0,0,4899,10,3,489.9,"src/main.cpp,src/service/order_service.cpp",0
level1-003,level1,True,False,18.19,9,864,0,0,873,5,0,174.6,src/service/order_service.cpp,0
level1-004,level1,True,False,21.12,10,854,0,0,864,4,0,216.0,src/service/order_service.cpp,0
level1-005,level1,True,False,42.56,21,1857,0,0,1878,7,2,268.2857142857143,src/net/server.cpp,0
level1-006,level1,True,False,14.93,7,537,0,0,544,3,0,181.33333333333334,src/net/server.cpp,0
level1-007,level1,True,False,15.78,7,627,0,0,634,3,0,211.33333333333334,src/config/config_manager.cpp,0
level1-008,level1,True,False,29.8,54,1740,0,0,1794,11,0,163.0909090909091,src/app/application.cpp,0
level2-001,level2,True,False,12.31,7,592,0,0,599,3,0,199.66666666666666,src/auth/auth_service.cpp,0
level2-002,level2,True,False,36.94,16,1185,0,0,1201,5,2,240.2,src/auth/auth_token.cpp,0
level2-003,level2,True,False,46.5,21,2022,0,0,2043,7,3,291.85714285714283,src/gateway/request_handler.cpp,0
level2-004,level2,True,False,83.19,30,4023,0,0,4053,12,3,337.75,"src/auth/auth_service.cpp,src/web/auth_controller.cpp,src/web/session_controller.cpp",0
level2-005,level2,True,False,53.28,19,1688,0,0,1707,8,4,213.375,src/auth/user_repository.cpp,0
level2-006,level2,True,False,46.67,26,6471,0,0,6497,11,2,590.6363636363636,"src/handlers/api_handler.cpp,src/middleware/auth_middleware.cpp,src/middleware/cors_middleware.cpp,src/middleware/rate_limiter.cpp",0
level2-007,level2,True,False,34.97,17,1743,0,0,1760,7,2,251.42857142857142,"src/handlers/api_handler.cpp,src/handlers/upload_handler.cpp",0
level2-008,level2,True,False,42.7,19,1559,0,0,1578,6,3,263.0,src/web/auth_controller.cpp,0
level3-001,level3,True,False,43.89,64,2772,0,0,2836,11,0,257.8181818181818,"src/web/mobile_checkout_handler.cpp,src/web/web_checkout_handler.cpp",0
level3-002,level3,True,False,45.82,16,1189,0,0,1205,6,3,200.83333333333334,src/service/order_service.cpp,0
level3-003,level3,True,False,42.63,53,1325,0,0,1378,7,0,196.85714285714286,src/repository/inventory_repository.cpp,0
level3-004,level3,True,False,59.3,19,1575,0,0,1594,9,5,177.11111111111111,src/gateway/payment_gateway.cpp,0
level3-005,level3,True,False,51.64,17,1370,0,0,1387,7,3,198.14285714285714,src/store/data_store.cpp,0
level3-006,level3,True,False,39.2,16,1448,0,0,1464,5,2,292.8,src/job/sync_job.cpp,0
level3-007,level3,True,False,61.36,34,7111,0,0,7145,13,5,549.6153846153846,"src/service/checkout_service.cpp,src/service/order_service.cpp,src/web/web_checkout_handler.cpp",0
level3-008,level3,True,False,61.92,24,3296,0,0,3320,11,5,301.8181818181818,"src/job/cleanup_job.cpp,src/job/sync_job.cpp",0
level4-001,level4,True,False,55.49,96,2568,0,0,2664,12,0,222.0,src/service/order_service.cpp,0
level4-002,level4,False,False,59.71,147,3648,0,0,3795,18,0,210.83333333333334,src/processor/request_processor.cpp,0
level4-003,level4,True,False,99.12,122,7079,0,0,7201,26,0,276.96153846153845,"src/gateway/payment_gateway.cpp,src/gateway/payment_gateway.h,src/service/admin_order_service.cpp,src/service/order_service.cpp,src/service/payment_service.cpp,src/service/payment_service.h",0
level4-004,level4,True,False,88.09,263,17989,0,0,18252,40,0,456.3,"src/repository/order_repository.cpp,src/repository/order_repository.h,src/service/checkout_service.cpp,src/service/checkout_service.h,src/service/order_service.cpp,src/service/order_service.h",0
level4-005,level4,True,False,82.83,186,9608,0,0,9794,37,0,264.7027027027027,"src/api/api_handler.cpp,src/api/api_handler.h,src/main.cpp,src/processor/request_processor.cpp,src/processor/request_processor.h,src/store/database_store.cpp,src/store/database_store.h",0
level4-006,level4,False,False,64.63,30,3964,0,0,3994,12,3,332.8333333333333,"src/processor/request_processor.cpp,src/service/validation_service.cpp,src/service/validation_service.h",0
level4-007,level4,False,False,23.01,15,2082,0,0,2097,6,0,349.5,"src/api/callback_registry.cpp,src/api/callback_registry.h,src/main.cpp",0
level4-008,level4,True,False,61.88,63,4804,0,0,4867,16,0,304.1875,"src/service/inventory_service.cpp,src/service/inventory_service.h,src/service/order_service.cpp",0
level5-001,level5,True,False,67.89,151,5315,0,0,5466,21,0,260.2857142857143,src/dispatcher/message_dispatcher.cpp,0
level5-002,level5,True,False,103.85,231,7670,0,0,7901,29,0,272.44827586206895,"src/serializer/base_serializer.h,src/serializer/json_serializer.h",0
level5-003,level5,True,False,101.52,222,7768,0,0,7990,26,0,307.3076923076923,"src/service/order_service.cpp,src/service/user_service.cpp",0
level5-004,level5,True,False,75.3,178,6055,0,0,6233,24,0,259.7083333333333,src/service/user_service.cpp,0
level5-005,level5,True,False,69.77,166,4330,0,0,4496,20,0,224.8,src/jobs/subscription_billing_job.cpp,0
level5-006,level5,True,False,90.62,168,6202,0,0,6370,24,0,265.4166666666667,"src/jobs/subscription_billing_job.cpp,src/workflow/order_processing_workflow.cpp",0
level5-007,level5,True,False,73.17,190,5448,0,0,5638,26,0,216.84615384615384,src/service/auth_service.cpp,0
level5-008,level5,True,False,68.52,151,4554,0,0,4705,20,0,235.25,src/workflow/password_reset_workflow.cpp,0
smoke-001,smoke,True,False,83.37,20,2304,0,0,2324,12,9,193.66666666666666,src/main.cpp,0
