command,level,tasks_using_command,total_calls,average_calls_per_using_task
2,overall,1,1,1.00
2,smoke,1,1,1.00
2,level1,0,0,
2,level2,0,0,
2,level3,0,0,
2,level4,0,0,
2,level5,0,0,
callees,overall,3,4,1.33
callees,smoke,0,0,
callees,level1,0,0,
callees,level2,1,1,1.00
callees,level3,2,3,1.50
callees,level4,0,0,
callees,level5,0,0,
callers,overall,10,14,1.40
callers,smoke,0,0,
callers,level1,2,2,1.00
callers,level2,4,5,1.25
callers,level3,3,6,2.00
callers,level4,1,1,1.00
callers,level5,0,0,
children,overall,1,1,1.00
children,smoke,0,0,
children,level1,0,0,
children,level2,1,1,1.00
children,level3,0,0,
children,level4,0,0,
children,level5,0,0,
find,overall,2,6,3.00
find,smoke,1,5,5.00
find,level1,0,0,
find,level2,1,1,1.00
find,level3,0,0,
find,level4,0,0,
find,level5,0,0,
references,overall,4,6,1.50
references,smoke,1,3,3.00
references,level1,1,1,1.00
references,level2,1,1,1.00
references,level3,0,0,
references,level4,1,1,1.00
references,level5,0,0,
search,overall,15,25,1.67
search,smoke,0,0,
search,level1,2,2,1.00
search,level2,6,8,1.33
search,level3,6,14,2.33
search,level4,1,1,1.00
search,level5,0,0,
symbols,overall,1,2,2.00
symbols,smoke,0,0,
symbols,level1,0,0,
symbols,level2,1,2,2.00
symbols,level3,0,0,
symbols,level4,0,0,
symbols,level5,0,0,
