task_id,level,with_ast_present,without_ast_present,with_ast_success,without_ast_success,success_changed,with_ast_elapsed_seconds,without_ast_elapsed_seconds,elapsed_delta_seconds,with_ast_input_tokens,without_ast_input_tokens,input_tokens_delta,with_ast_output_tokens,without_ast_output_tokens,output_tokens_delta,with_ast_total_tokens,without_ast_total_tokens,total_tokens_delta,with_ast_tool_calls,without_ast_tool_calls,tool_calls_delta,with_ast_ast_tool_calls,with_ast_validation_success,without_ast_validation_success
level1-001,level1,True,True,True,True,False,18.35,18.15,0.20,12,12,0,1387,1357,30,1399,1369,30,5,5,0,0,True,True
level1-002,level1,True,True,True,True,False,58.72,63.06,-4.34,26,26,0,4873,4187,686,4899,4213,686,10,10,0,3,True,True
level1-003,level1,True,True,True,True,False,18.19,15.38,2.81,9,7,2,864,499,365,873,506,367,5,3,2,0,True,True
level1-004,level1,True,True,True,True,False,21.12,23.14,-2.02,10,11,-1,854,1044,-190,864,1055,-191,4,5,-1,0,True,True
level1-005,level1,True,True,True,True,False,42.56,46.34,-3.78,21,22,-1,1857,1865,-8,1878,1887,-9,7,8,-1,2,True,True
level1-006,level1,True,True,True,True,False,14.93,41.13,-26.20,7,16,-9,537,1273,-736,544,1289,-745,3,6,-3,0,True,True
level1-007,level1,True,True,True,True,False,15.78,21.25,-5.47,7,9,-2,627,837,-210,634,846,-212,3,5,-2,0,True,True
level1-008,level1,True,True,True,True,False,29.80,25.04,4.76,54,58,-4,1740,1435,305,1794,1493,301,11,8,3,0,True,True
level2-001,level2,True,True,True,True,False,12.31,45.53,-33.22,7,16,-9,592,1275,-683,599,1291,-692,3,6,-3,0,True,True
level2-002,level2,True,True,True,True,False,36.94,38.28,-1.34,16,16,0,1185,1263,-78,1201,1279,-78,5,5,0,2,True,True
level2-003,level2,True,True,True,True,False,46.50,14.44,32.06,21,9,12,2022,729,1293,2043,738,1305,7,3,4,3,True,True
level2-004,level2,True,True,True,True,False,83.19,55.77,27.42,30,28,2,4023,5663,-1640,4053,5691,-1638,12,12,0,3,True,True
level2-005,level2,True,True,True,True,False,53.28,53.72,-0.44,19,21,-2,1688,2057,-369,1707,2078,-371,8,8,0,4,True,True
level2-006,level2,True,True,True,True,False,46.67,79.50,-32.83,26,31,-5,6471,7374,-903,6497,7405,-908,11,16,-5,2,True,True
level2-007,level2,True,True,True,True,False,34.97,39.13,-4.16,17,17,0,1743,1813,-70,1760,1830,-70,7,7,0,2,True,True
level2-008,level2,True,True,True,True,False,42.70,28.46,14.24,19,17,2,1559,1165,394,1578,1182,396,6,4,2,3,True,True
level3-001,level3,True,True,True,True,False,43.89,43.91,-0.02,64,21,43,2772,2909,-137,2836,2930,-94,11,8,3,0,True,True
level3-002,level3,True,True,True,True,False,45.82,44.56,1.26,16,19,-3,1189,1432,-243,1205,1451,-246,6,6,0,3,True,True
level3-003,level3,True,True,True,True,False,42.63,35.44,7.19,53,14,39,1325,946,379,1378,960,418,7,5,2,0,True,True
level3-004,level3,True,True,True,True,False,59.30,54.60,4.70,19,21,-2,1575,1603,-28,1594,1624,-30,9,8,1,5,True,True
level3-005,level3,True,True,True,True,False,51.64,62.32,-10.68,17,25,-8,1370,2297,-927,1387,2322,-935,7,10,-3,3,True,True
level3-006,level3,True,True,True,True,False,39.20,35.35,3.85,16,19,-3,1448,1893,-445,1464,1912,-448,5,5,0,2,True,True
level3-007,level3,True,True,True,True,False,61.36,58.23,3.13,34,32,2,7111,7120,-9,7145,7152,-7,13,13,0,5,True,True
level3-008,level3,True,True,True,True,False,61.92,65.86,-3.94,24,25,-1,3296,4763,-1467,3320,4788,-1468,11,13,-2,5,True,True
level4-001,level4,True,True,True,True,False,55.49,48.60,6.89,96,107,-11,2568,3491,-923,2664,3598,-934,12,14,-2,0,True,True
level4-002,level4,True,True,False,False,False,59.71,58.08,1.63,147,123,24,3648,2712,936,3795,2835,960,18,18,0,0,False,False
level4-003,level4,True,True,True,True,False,99.12,74.69,24.43,122,38,84,7079,7554,-475,7201,7592,-391,26,19,7,0,True,True
level4-004,level4,True,True,True,True,False,88.09,59.55,28.54,263,109,154,17989,16269,1720,18252,16378,1874,40,25,15,0,True,True
level4-005,level4,True,True,True,False,True,82.83,79.73,3.10,186,88,98,9608,9069,539,9794,9157,637,37,25,12,0,True,False
level4-006,level4,True,True,False,False,False,64.63,70.16,-5.53,30,31,-1,3964,4080,-116,3994,4111,-117,12,13,-1,3,False,False
level4-007,level4,True,True,False,False,False,23.01,20.95,2.06,15,15,0,2082,2115,-33,2097,2130,-33,6,6,0,0,False,False
level4-008,level4,True,True,True,True,False,61.88,26.67,35.21,63,15,48,4804,2096,2708,4867,2111,2756,16,8,8,0,True,True
level5-001,level5,True,True,True,True,False,67.89,80.73,-12.84,151,222,-71,5315,7307,-1992,5466,7529,-2063,21,27,-6,0,True,True
level5-002,level5,True,True,True,True,False,103.85,105.33,-1.48,231,193,38,7670,7902,-232,7901,8095,-194,29,28,1,0,True,True
level5-003,level5,True,True,True,True,False,101.52,91.89,9.63,222,192,30,7768,5222,2546,7990,5414,2576,26,25,1,0,True,True
level5-004,level5,True,True,True,True,False,75.30,86.43,-11.13,178,221,-43,6055,6940,-885,6233,7161,-928,24,27,-3,0,True,True
level5-005,level5,True,True,True,True,False,69.77,67.55,2.22,166,165,1,4330,4288,42,4496,4453,43,20,19,1,0,True,True
level5-006,level5,True,True,True,True,False,90.62,66.12,24.50,168,167,1,6202,4107,2095,6370,4274,2096,24,21,3,0,True,True
level5-007,level5,True,True,True,True,False,73.17,112.78,-39.61,190,198,-8,5448,8277,-2829,5638,8475,-2837,26,30,-4,0,True,True
level5-008,level5,True,True,True,True,False,68.52,71.45,-2.93,151,171,-20,4554,5228,-674,4705,5399,-694,20,22,-2,0,True,True
smoke-001,smoke,True,True,True,True,False,83.37,94.97,-11.60,20,19,1,2304,2281,23,2324,2300,24,12,12,0,9,True,True
