task_id,level,success,ast_tool_total_calls,2_calls,callees_calls,callers_calls,children_calls,find_calls,references_calls,search_calls,symbols_calls
level1-001,level1,True,0,0,0,0,0,0,0,0,0
level1-002,level1,True,3,0,0,1,0,0,1,1,0
level1-003,level1,True,0,0,0,0,0,0,0,0,0
level1-004,level1,True,0,0,0,0,0,0,0,0,0
level1-005,level1,True,2,0,0,1,0,0,0,1,0
level1-006,level1,True,0,0,0,0,0,0,0,0,0
level1-007,level1,True,0,0,0,0,0,0,0,0,0
level1-008,level1,True,0,0,0,0,0,0,0,0,0
level2-001,level2,True,0,0,0,0,0,0,0,0,0
level2-002,level2,True,2,0,0,0,0,0,0,2,0
level2-003,level2,True,3,0,0,0,1,0,0,0,2
level2-004,level2,True,3,0,0,1,0,0,1,1,0
level2-005,level2,True,4,0,1,0,0,1,0,2,0
level2-006,level2,True,2,0,0,1,0,0,0,1,0
level2-007,level2,True,2,0,0,1,0,0,0,1,0
level2-008,level2,True,3,0,0,2,0,0,0,1,0
level3-001,level3,True,0,0,0,0,0,0,0,0,0
level3-002,level3,True,3,0,0,2,0,0,0,1,0
level3-003,level3,True,0,0,0,0,0,0,0,0,0
level3-004,level3,True,5,0,2,0,0,0,0,3,0
level3-005,level3,True,3,0,0,2,0,0,0,1,0
level3-006,level3,True,2,0,1,0,0,0,0,1,0
level3-007,level3,True,5,0,0,0,0,0,0,5,0
level3-008,level3,True,5,0,0,2,0,0,0,3,0
level4-001,level4,True,0,0,0,0,0,0,0,0,0
level4-002,level4,False,0,0,0,0,0,0,0,0,0
level4-003,level4,True,0,0,0,0,0,0,0,0,0
level4-004,level4,True,0,0,0,0,0,0,0,0,0
level4-005,level4,True,0,0,0,0,0,0,0,0,0
level4-006,level4,False,3,0,0,1,0,0,1,1,0
level4-007,level4,False,0,0,0,0,0,0,0,0,0
level4-008,level4,True,0,0,0,0,0,0,0,0,0
level5-001,level5,True,0,0,0,0,0,0,0,0,0
level5-002,level5,True,0,0,0,0,0,0,0,0,0
level5-003,level5,True,0,0,0,0,0,0,0,0,0
level5-004,level5,True,0,0,0,0,0,0,0,0,0
level5-005,level5,True,0,0,0,0,0,0,0,0,0
level5-006,level5,True,0,0,0,0,0,0,0,0,0
level5-007,level5,True,0,0,0,0,0,0,0,0,0
level5-008,level5,True,0,0,0,0,0,0,0,0,0
smoke-001,smoke,True,9,1,0,0,0,5,3,0,0
