level,tool,with_ast_total,without_ast_total,total_delta,with_ast_avg_per_task,without_ast_avg_per_task,avg_delta
overall,Agent,17,13,4,0.41,0.32,0.10
smoke,Agent,0,0,0,0.00,0.00,0.00
level1,Agent,1,1,0,0.12,0.12,0.00
level2,Agent,0,0,0,0.00,0.00,0.00
level3,Agent,2,0,2,0.25,0.00,0.25
level4,Agent,6,4,2,0.75,0.50,0.25
level5,Agent,8,8,0,1.00,1.00,0.00
overall,Bash,102,120,-18,2.49,2.93,-0.44
smoke,Bash,10,10,0,10.00,10.00,0.00
level1,Bash,6,8,-2,0.75,1.00,-0.25
level2,Bash,19,23,-4,2.38,2.88,-0.50
level3,Bash,28,28,0,3.50,3.50,0.00
level4,Bash,14,20,-6,1.75,2.50,-0.75
level5,Bash,25,31,-6,3.12,3.88,-0.75
overall,Edit,85,86,-1,2.07,2.10,-0.02
smoke,Edit,1,1,0,1.00,1.00,0.00
level1,Edit,13,15,-2,1.62,1.88,-0.25
level2,Edit,15,15,0,1.88,1.88,0.00
level3,Edit,13,13,0,1.62,1.62,0.00
level4,Edit,31,32,-1,3.88,4.00,-0.12
level5,Edit,12,10,2,1.50,1.25,0.25
overall,Glob,19,12,7,0.46,0.29,0.17
smoke,Glob,0,0,0,0.00,0.00,0.00
level1,Glob,1,2,-1,0.12,0.25,-0.12
level2,Glob,1,0,1,0.12,0.00,0.12
level3,Glob,2,4,-2,0.25,0.50,-0.25
level4,Glob,11,5,6,1.38,0.62,0.75
level5,Glob,4,1,3,0.50,0.12,0.38
overall,Grep,31,15,16,0.76,0.37,0.39
smoke,Grep,0,0,0,0.00,0.00,0.00
level1,Grep,13,9,4,1.62,1.12,0.50
level2,Grep,2,1,1,0.25,0.12,0.12
level3,Grep,1,0,1,0.12,0.00,0.12
level4,Grep,13,1,12,1.62,0.12,1.50
level5,Grep,2,4,-2,0.25,0.50,-0.25
overall,Read,275,252,23,6.71,6.15,0.56
smoke,Read,1,1,0,1.00,1.00,0.00
level1,Read,12,12,0,1.50,1.50,0.00
level2,Read,15,15,0,1.88,1.88,0.00
level3,Read,17,15,2,2.12,1.88,0.25
level4,Read,91,64,27,11.38,8.00,3.38
level5,Read,139,145,-6,17.38,18.12,-0.75
overall,Skill,16,20,-4,0.39,0.49,-0.10
smoke,Skill,0,0,0,0.00,0.00,0.00
level1,Skill,2,3,-1,0.25,0.38,-0.12
level2,Skill,7,7,0,0.88,0.88,0.00
level3,Skill,6,8,-2,0.75,1.00,-0.25
level4,Skill,1,2,-1,0.12,0.25,-0.12
level5,Skill,0,0,0,0.00,0.00,0.00
